ID,Datetime,Count
0,25-08-2012 00:00,0
1,25-08-2012 01:00,1
2,25-08-2012 02:00,8
3,25-08-2012 03:00,27
4,25-08-2012 04:00,64
5,25-08-2012 05:00,125
6,25-08-2012 06:00,216
7,25-08-2012 07:00,343
8,25-08-2012 08:00,512
9,25-08-2012 09:00,729
10,25-08-2012 10:00,1000
11,25-08-2012 11:00,1331
12,25-08-2012 12:00,1728
13,25-08-2012 13:00,2197
14,25-08-2012 14:00,2744
15,25-08-2012 15:00,3375
16,25-08-2012 16:00,4096
17,25-08-2012 17:00,4913
18,25-08-2012 18:00,5832
19,25-08-2012 19:00,6859
20,25-08-2012 20:00,8000
21,25-08-2012 21:00,9261
22,25-08-2012 22:00,10648
23,25-08-2012 23:00,12167
24,26-08-2012 00:00,13824
25,26-08-2012 01:00,15625
26,26-08-2012 02:00,17576
27,26-08-2012 03:00,19683
28,26-08-2012 04:00,21952
29,26-08-2012 05:00,24389
30,26-08-2012 06:00,27000
31,26-08-2012 07:00,29791
32,26-08-2012 08:00,32768
33,26-08-2012 09:00,35937
34,26-08-2012 10:00,39304
35,26-08-2012 11:00,42875
36,26-08-2012 12:00,46656
37,26-08-2012 13:00,50653
38,26-08-2012 14:00,54872
39,26-08-2012 15:00,59319
40,26-08-2012 16:00,64000
41,26-08-2012 17:00,68921
42,26-08-2012 18:00,74088
43,26-08-2012 19:00,79507
44,26-08-2012 20:00,85184
45,26-08-2012 21:00,91125
46,26-08-2012 22:00,97336
47,26-08-2012 23:00,103823
48,27-08-2012 00:00,110592
49,27-08-2012 01:00,117649
50,27-08-2012 02:00,125000
51,27-08-2012 03:00,132651
52,27-08-2012 04:00,140608
53,27-08-2012 05:00,148877
54,27-08-2012 06:00,157464
55,27-08-2012 07:00,166375
56,27-08-2012 08:00,175616
57,27-08-2012 09:00,185193
58,27-08-2012 10:00,195112
59,27-08-2012 11:00,205379
60,27-08-2012 12:00,216000
61,27-08-2012 13:00,226981
62,27-08-2012 14:00,238328
63,27-08-2012 15:00,250047
64,27-08-2012 16:00,262144
65,27-08-2012 17:00,274625
66,27-08-2012 18:00,287496
67,27-08-2012 19:00,300763
68,27-08-2012 20:00,314432
69,27-08-2012 21:00,328509
70,27-08-2012 22:00,343000
71,27-08-2012 23:00,357911
72,28-08-2012 00:00,373248
73,28-08-2012 01:00,389017
74,28-08-2012 02:00,405224
75,28-08-2012 03:00,421875
76,28-08-2012 04:00,438976
77,28-08-2012 05:00,456533
78,28-08-2012 06:00,474552
79,28-08-2012 07:00,493039
80,28-08-2012 08:00,512000
81,28-08-2012 09:00,531441
82,28-08-2012 10:00,551368
83,28-08-2012 11:00,571787
84,28-08-2012 12:00,592704
85,28-08-2012 13:00,614125
86,28-08-2012 14:00,636056
87,28-08-2012 15:00,658503
88,28-08-2012 16:00,681472
89,28-08-2012 17:00,704969
90,28-08-2012 18:00,729000
91,28-08-2012 19:00,753571
92,28-08-2012 20:00,778688
93,28-08-2012 21:00,804357
94,28-08-2012 22:00,830584
95,28-08-2012 23:00,857375
96,29-08-2012 00:00,884736
97,29-08-2012 01:00,912673
98,29-08-2012 02:00,941192
99,29-08-2012 03:00,970299
100,29-08-2012 04:00,1000000
101,29-08-2012 05:00,1030301
102,29-08-2012 06:00,1061208
103,29-08-2012 07:00,1092727
104,29-08-2012 08:00,1124864
105,29-08-2012 09:00,1157625
106,29-08-2012 10:00,1191016
107,29-08-2012 11:00,1225043
108,29-08-2012 12:00,1259712
109,29-08-2012 13:00,1295029
110,29-08-2012 14:00,1331000
111,29-08-2012 15:00,1367631
112,29-08-2012 16:00,1404928
113,29-08-2012 17:00,1442897
114,29-08-2012 18:00,1481544
115,29-08-2012 19:00,1520875
116,29-08-2012 20:00,1560896
117,29-08-2012 21:00,1601613
118,29-08-2012 22:00,1643032
119,29-08-2012 23:00,1685159
120,30-08-2012 00:00,1728000
121,30-08-2012 01:00,1771561
122,30-08-2012 02:00,1815848
123,30-08-2012 03:00,1860867
124,30-08-2012 04:00,1906624
125,30-08-2012 05:00,1953125
126,30-08-2012 06:00,2000376
127,30-08-2012 07:00,2048383
128,30-08-2012 08:00,2097152
129,30-08-2012 09:00,2146689
130,30-08-2012 10:00,2197000
131,30-08-2012 11:00,2248091
132,30-08-2012 12:00,2299968
133,30-08-2012 13:00,2352637
134,30-08-2012 14:00,2406104
135,30-08-2012 15:00,2460375
136,30-08-2012 16:00,2515456
137,30-08-2012 17:00,2571353
138,30-08-2012 18:00,2628072
139,30-08-2012 19:00,2685619
140,30-08-2012 20:00,2744000
141,30-08-2012 21:00,2803221
142,30-08-2012 22:00,2863288
143,30-08-2012 23:00,2924207
144,31-08-2012 00:00,2985984
145,31-08-2012 01:00,3048625
146,31-08-2012 02:00,3112136
147,31-08-2012 03:00,3176523
148,31-08-2012 04:00,3241792
149,31-08-2012 05:00,3307949
150,31-08-2012 06:00,3375000
151,31-08-2012 07:00,3442951
152,31-08-2012 08:00,3511808
153,31-08-2012 09:00,3581577
154,31-08-2012 10:00,3652264
155,31-08-2012 11:00,3723875
156,31-08-2012 12:00,3796416
157,31-08-2012 13:00,3869893
158,31-08-2012 14:00,3944312
159,31-08-2012 15:00,4019679
160,31-08-2012 16:00,4096000
161,31-08-2012 17:00,4173281
162,31-08-2012 18:00,4251528
163,31-08-2012 19:00,4330747
164,31-08-2012 20:00,4410944
165,31-08-2012 21:00,4492125
166,31-08-2012 22:00,4574296
167,31-08-2012 23:00,4657463
168,1/9/2012 0:00,4741632
169,1/9/2012 1:00,4826809
170,1/9/2012 2:00,4913000
171,1/9/2012 3:00,5000211
172,1/9/2012 4:00,5088448
173,1/9/2012 5:00,5177717
174,1/9/2012 6:00,5268024
175,1/9/2012 7:00,5359375
176,1/9/2012 8:00,5451776
177,1/9/2012 9:00,5545233
178,1/9/2012 10:00,5639752
179,1/9/2012 11:00,5735339
180,1/9/2012 12:00,5832000
181,1/9/2012 13:00,5929741
182,1/9/2012 14:00,6028568
183,1/9/2012 15:00,6128487
184,1/9/2012 16:00,6229504
185,1/9/2012 17:00,6331625
186,1/9/2012 18:00,6434856
187,1/9/2012 19:00,6539203
188,1/9/2012 20:00,6644672
189,1/9/2012 21:00,6751269
190,1/9/2012 22:00,6859000
191,1/9/2012 23:00,6967871
192,2/9/2012 0:00,7077888
193,2/9/2012 1:00,7189057
194,2/9/2012 2:00,7301384
195,2/9/2012 3:00,7414875
196,2/9/2012 4:00,7529536
197,2/9/2012 5:00,7645373
198,2/9/2012 6:00,7762392
199,2/9/2012 7:00,7880599
200,2/9/2012 8:00,8000000
201,2/9/2012 9:00,8120601
202,2/9/2012 10:00,8242408
203,2/9/2012 11:00,8365427
204,2/9/2012 12:00,8489664
205,2/9/2012 13:00,8615125
206,2/9/2012 14:00,8741816
207,2/9/2012 15:00,8869743
208,2/9/2012 16:00,8998912
209,2/9/2012 17:00,9129329
210,2/9/2012 18:00,9261000
211,2/9/2012 19:00,9393931
212,2/9/2012 20:00,9528128
213,2/9/2012 21:00,9663597
214,2/9/2012 22:00,9800344
215,2/9/2012 23:00,9938375
216,3/9/2012 0:00,10077696
217,3/9/2012 1:00,10218313
218,3/9/2012 2:00,10360232
219,3/9/2012 3:00,10503459
220,3/9/2012 4:00,10648000
221,3/9/2012 5:00,10793861
222,3/9/2012 6:00,10941048
223,3/9/2012 7:00,11089567
224,3/9/2012 8:00,11239424
225,3/9/2012 9:00,11390625
226,3/9/2012 10:00,11543176
227,3/9/2012 11:00,11697083
228,3/9/2012 12:00,11852352
229,3/9/2012 13:00,12008989
230,3/9/2012 14:00,12167000
231,3/9/2012 15:00,12326391
232,3/9/2012 16:00,12487168
233,3/9/2012 17:00,12649337
234,3/9/2012 18:00,12812904
235,3/9/2012 19:00,12977875
236,3/9/2012 20:00,13144256
237,3/9/2012 21:00,13312053
238,3/9/2012 22:00,13481272
239,3/9/2012 23:00,13651919
