,ID,Datetime,Count
0,18288,2014-09-26 00:00:00,493.40996550651914
1,18289,2014-09-26 01:00:00,393.7669663592332
2,18290,2014-09-26 02:00:00,333.2481367116999
3,18291,2014-09-26 03:00:00,275.3510297626036
4,18292,2014-09-26 04:00:00,231.7637938631704
5,18293,2014-09-26 05:00:00,207.46682531009648
6,18294,2014-09-26 06:00:00,223.0831735573087
7,18295,2014-09-26 07:00:00,258.7175583280381
8,18296,2014-09-26 08:00:00,297.9294108611836
9,18297,2014-09-26 09:00:00,384.9898947166398
10,18298,2014-09-26 10:00:00,546.4494324056687
11,18299,2014-09-26 11:00:00,605.8108460124206
12,18300,2014-09-26 12:00:00,612.229244056755
13,18301,2014-09-26 13:00:00,541.4690361089723
14,18302,2014-09-26 14:00:00,578.9623011876241
15,18303,2014-09-26 15:00:00,571.649536202686
16,18304,2014-09-26 16:00:00,557.0590794461668
17,18305,2014-09-26 17:00:00,570.036168388263
18,18306,2014-09-26 18:00:00,584.0654537310699
19,18307,2014-09-26 19:00:00,619.752448321835
20,18308,2014-09-26 20:00:00,595.5606994088316
21,18309,2014-09-26 21:00:00,555.8928951020453
22,18310,2014-09-26 22:00:00,557.9096048700738
23,18311,2014-09-26 23:00:00,544.7220766478358
24,18312,2014-09-27 00:00:00,376.5733058756763
25,18313,2014-09-27 01:00:00,300.5251993933906
26,18314,2014-09-27 02:00:00,254.3368826967401
27,18315,2014-09-27 03:00:00,210.14947974861155
28,18316,2014-09-27 04:00:00,176.8834521770309
29,18317,2014-09-27 05:00:00,158.33986690226712
30,18318,2014-09-27 06:00:00,170.25835314346332
31,18319,2014-09-27 07:00:00,197.45471927721974
32,18320,2014-09-27 08:00:00,227.3814292551134
33,18321,2014-09-27 09:00:00,293.8264881483391
34,18322,2014-09-27 10:00:00,417.05333017269743
35,18323,2014-09-27 11:00:00,462.358300331539
36,18324,2014-09-27 12:00:00,467.2568584048437
37,18325,2014-09-27 13:00:00,413.25226325242835
38,18326,2014-09-27 14:00:00,441.8673374620602
39,18327,2014-09-27 15:00:00,436.28619342772134
40,18328,2014-09-27 16:00:00,425.15067343594706
41,18329,2014-09-27 17:00:00,435.05486189016926
42,18330,2014-09-27 18:00:00,445.76209265149066
43,18331,2014-09-27 19:00:00,472.9986109006022
44,18332,2014-09-27 20:00:00,454.53532985654795
45,18333,2014-09-27 21:00:00,424.2606348789117
46,18334,2014-09-27 22:00:00,425.7997993008517
47,18335,2014-09-27 23:00:00,415.7350023852099
48,18336,2014-09-28 00:00:00,372.81895677743455
49,18337,2014-09-28 01:00:00,297.5290323955259
50,18338,2014-09-28 02:00:00,251.80120257469406
51,18339,2014-09-28 03:00:00,208.05433785331576
52,18340,2014-09-28 04:00:00,175.11996491223266
53,18341,2014-09-28 05:00:00,156.76125491027292
54,18342,2014-09-28 06:00:00,168.56091658962717
55,18343,2014-09-28 07:00:00,195.48614121898967
56,18344,2014-09-28 08:00:00,225.11448879342623
57,18345,2014-09-28 09:00:00,290.89710575822494
58,18346,2014-09-28 10:00:00,412.89540455868826
59,18347,2014-09-28 11:00:00,457.74869460317285
60,18348,2014-09-28 12:00:00,462.59841518109954
61,18349,2014-09-28 13:00:00,409.13223339986
62,18350,2014-09-28 14:00:00,437.46202191244754
63,18351,2014-09-28 15:00:00,431.9365205982525
64,18352,2014-09-28 16:00:00,420.9120191752064
65,18353,2014-09-28 17:00:00,430.7174651524348
66,18354,2014-09-28 18:00:00,441.3179472899791
67,18355,2014-09-28 19:00:00,468.28292372735757
68,18356,2014-09-28 20:00:00,450.0037173414289
69,18357,2014-09-28 21:00:00,420.03085409752254
70,18358,2014-09-28 22:00:00,421.55467340479447
71,18359,2014-09-28 23:00:00,411.5902201955033
72,18360,2014-09-29 00:00:00,521.3859385792608
73,18361,2014-09-29 01:00:00,416.09325649910176
74,18362,2014-09-29 02:00:00,352.1430548344362
